Id,Label,nb_retweets,nb_retweeted,modularity_class,pageranks,Modularity Class_08,Modularity Class_10-selected
1183279797654511616,,2611,4001,4,0.002179,2,4
14266598,,405,4031,4,0.000636,7,4
595446999,,303,3510,4,0.000711,2,4
1100423496813998081,,132,3160,4,0.000475,2,4
1189438597734244352,,291,2515,4,0.000553,2,4
1148442735734677504,,616,2870,4,0.000848,2,4
37655765,,138,1779,4,0.000434,2,4
1312678591440838657,,238,578,4,0.000312,2,4
3478327696,,297,307,4,0.000329,7,4
1468844215878750209,,1091,472,4,0.000866,2,4
994600058879430656,,826,1287,4,0.000781,2,4
1483293923875381253,,665,1366,4,0.000648,2,4
15193285,,286,1399,4,0.000343,7,4
1167069763450933248,,332,462,4,0.000302,2,4
1250316420283379713,,189,794,4,0.000299,7,4
917397799972605953,,792,1753,4,0.000933,2,4
1424821374628114435,,122,3280,4,0.000292,4,4
4912167220,,210,1206,4,0.000388,2,4
1471475005926035458,,1737,2428,4,0.001269,2,4
1024229482666840069,,1151,2328,4,0.001276,2,4
1471574049205723140,,665,2525,4,0.000795,2,4
1266418624790704129,,108,697,4,0.000284,2,4
1201095989249167360,,157,1992,4,0.000321,6,4
1305775283115405312,,473,614,4,0.000544,2,4
1179382288200732672,,579,848,4,0.000596,2,4
1456280432136359936,,260,589,4,0.000322,2,4
846421584,,507,778,4,0.000661,7,4
1106233568131461121,,58,2463,4,0.000294,7,4
2813006618,,1243,385,4,0.000928,4,4
1488795500237275141,,1265,890,4,0.001234,4,4
1452337916701777928,,959,5276,4,0.001109,4,4
1308877368627519489,,80,5323,4,0.000461,4,4
27049579,,5245,12564,4,0.003749,7,4
1240233117543211008,,,,4,0.000482,4,4
1147865396709593088,,203,6779,4,0.000456,4,4
1122858502874124288,,180,8581,4,0.000578,4,4
901352038344294400,,49,8722,4,0.000504,4,4
1471232646294474763,,87,9952,4,0.000631,4,4
2881236430,,850,7690,4,0.000487,6,4
1179416455600889864,,44,7413,4,0.000508,4,4
1079443074,,24,7412,4,0.000489,6,4
192942213,,55,10209,4,0.000641,6,4
1234894951575519237,,,,4,0.000883,4,4
1019974187975430144,ExtinctionR,638,22653,4,0.001987,4,4
211953429,,2,32025,4,0.001394,4,4
3245069205,PGDynes,54,28040,4,0.00083,4,4
1066521202519416833,,397,28201,4,0.001807,4,4
380956211,,2,21482,4,0.000549,4,4
32950484,MrMatthewTodd,1168,41351,4,0.001976,4,4
1096766566279073792,,3227,1913,4,0.002991,8,4
