Id;modularity_class
23587765;0
951633659039223808;0
877495409740050432;0
1328422666198544385;0
194343140;0
244314845;0
1427551120642224131;0
1451264029884915716;0
1523660783451836417;0
870782044430753792;0
1519110738622791687;0
190251322;0
27755106;0
1350305352953307138;0
952342464685223936;0
3319956996;0
1211041707011137537;0
824042643038539776;0
1149514562103861248;0
1499108275694055429;0
305138175;0
1518758511831826435;0
2158660900;0
1513196492130947075;0
583963378;0
1137086656224346114;0
1394892647848894465;0
1216793092134723586;0
1507071126916276230;0
1348838681218572291;0
1519185989901721600;0
1196926351015632901;0
1257636905627406336;0
958840964516405250;0
252714778;0
818178828807929856;0
1405522777445126145;0
28943037;0
126919473;0
1530193044003336194;0
2923504538;0
1440133831793729537;0
1490341194718720004;0
1519070698831896576;0
1351921367625715712;0
1493611263498334226;0
948906400222187520;0
1850420952;0
4739018516;0
1117898546055761920;0
39892596;0
1250621681569132545;0
532461887;0
822649128782102530;0
3108027745;0
1356421478443585536;0
2502934926;0
1436576539102097410;0
574834262;0
1438918292832391174;0
2325924517;0
1187891296511258624;0
1370243212456030210;0
2263404001;0
1519162548599201792;0
951581244113997831;0
1421844037221421056;0
188174512;0
817549324968140802;0
837075744887033856;0
2512671896;0
1260735441138905089;0
490952594;0
2321078844;0
1440374665801723912;0
1281998654723612677;0
780014810591363072;0
1498027722701893634;0
1548111341679833088;0
11134252;0
4886325111;0
1692821461;0
1429193106898006020;0
53800275;0
885331575797301248;0
1339038161306087425;0
1014590611540676609;0
1434701067749527555;0
30700790;0
446723616;0
1143437327416594433;0
60226959;0
15793787;0
1314015384010399745;0
1512578099891814402;0
47087664;0
1372939839537025027;0
16187637;0
1518742750971277313;0
130384385;0
529859220;0
1250134482356768769;0
1288889696240766979;0
874743020;0
1466387702505484294;0
17860119;0
1520434521711251456;0
1536817576260550656;0
3322776017;0
1094055494933794816;0
865967433919721473;0
1461538596322689025;0
2324566879;0
946901882;0
19207102;0
1359188988473593856;0
1518702939795124225;0
1862474028;0
2597297130;0
1143896764841365504;0
1489116254;0
1511146637531394051;0
18456220;0
1427320507792171034;0
66265121;0
2871140722;0
379986613;0
1425567410556444676;0
1255196651750293506;0
1509179566295822344;0
1432983451628675075;0
1444439532250836994;0
1524759280397787138;0
1330916615966371843;0
721145495696056320;0
832819575129411584;0
79768952;0
805959481934942208;0
597504323;0
100413913;0
1533796791660863490;0
984542517654847488;0
47429007;0
1260038841873858561;0
308524859;0
1499580169400594435;0
979867115946725377;0
999863702496169985;0
1049419534409629696;0
821588543436980225;0
3221699727;0
882853574450991104;0
1184868909171609600;0
1329171695173832706;0
535904416;0
10207502;0
1519003342378315777;0
1492640237016985602;0
53265271;0
147342493;0
1347968539588780033;0
1022125535252672512;0
1537450160552304640;0
1449085978455547904;0
1352778602090258432;0
882357649211138048;0
39078811;0
1270383518518882305;0
1214850699038789632;0
3199192864;0
731055107530444800;0
708802604021780480;0
852661831609057280;0
26498165;0
1397169524718329858;0
2730087682;0
706541040556220416;0
1503349131561086976;0
367613291;0
1004743409263837184;0
147248694;0
2542426164;0
1069978058822705152;0
1496886003767947265;0
1510051237290385412;0
1314317236287475715;0
33905880;0
1458977264658534402;0
1263547442903109633;0
1395376468398641153;0
1267255649311883265;0
68149768;0
1518711066611490816;0
334390100;0
915137490;0
455271393;0
1213254905349038080;0
1518958568971591681;0
1016260688;0
1489701852354682880;0
183593240;0
1519471250942271488;0
3385616975;0
801873524482863104;0
848162070;0
325808019;0
1432476660138455046;0
1112744620247662592;0
937556448;0
2260951045;0
1519671636521369600;0
1519069995094970368;0
555450691;0
1519299643879870464;0
835976500587343872;0
1519075680184590336;0
1273649127088406529;0
1528818527003713537;0
55381358;0
981669197133615104;0
1517334804718493697;0
1504157782790053889;0
1339011425151270913;0
920263177530695682;0
1520000986856640512;0
3167787682;0
1098171388433698816;0
760069929513005056;0
892254877610422273;0
60464771;0
824334228145848320;0
275948649;0
1228085121632350215;0
1519396779422273536;0
1148702356130762752;0
114206647;0
1499900921580597248;0
253405785;0
1733798858;0
1517973196884131840;0
1440475950332870663;0
2531536499;0
1518988593288556545;0
1420919062285201408;0
822651262378381313;0
1853272405;0
742834352283734016;0
1497643838965436424;0
720807341214425088;0
1523162566662393861;0
1458165034291433479;0
304691522;0
1244483693651124224;0
868632088542564352;0
998359018581118977;0
136232735;0
968179063641686016;0
929588663884886016;0
738458566760091648;0
1518944217837490176;0
1361319565498732544;0
1679672113;0
1151692959126962176;0
1115931668;0
57787764;0
24037109;0
2569652090;0
1258494400130416640;0
1325610670763728897;0
1535421773684023297;0
466864852;0
915528910049222657;0
905138029;0
1428048449195360262;0
925818942974767105;0
990494753711063040;0
1502652695487946752;0
42979713;0
1518690653345095683;0
1521029196465774595;0
966136378806317056;0
1350996545185980420;0
2963855724;0
136174220;0
565533390;0
1309347643781451778;0
1193336452433747969;0
1518743854903554048;0
812475578360205313;0
1527692316684992512;0
821948647935881217;0
1016384651538124800;0
1057088310726651904;0
1446179360537550849;0
825124504183644160;0
2367482564;0
23228167;0
1417201103234650118;0
120549862;0
1042450453009584128;0
30504627;0
1518590956085420033;0
1375158699765850112;0
3387357611;0
1491938923609829380;0
1484600324266643456;0
2184934963;4
956250134786002944;4
1134059457191776257;4
32950484;4
15088481;4
260478229;4
1189728422525915137;4
1066521202519416833;4
3459051;4
344395626;4
3005897708;4
211953429;4
384923143;4
1471232646294474763;4
198584761;4
1203501231282565120;4
20790580;4
1124022135335325696;4
3308920474;4
3245069205;4
3313985975;4
963157886;4
1045360120987701248;4
1019974187975430144;4
904408999;4
34317032;4
229016226;4
1030824102070808582;4
20582958;4
710844287341170688;4
4012161;4
996423161053876224;4
75742264;4
35692915;4
1179416455600889864;4
783719151684685824;4
2270905347;4
881615056437297152;4
1234894951575519237;4
123231225;4
1618691779;4
401775393;4
16958346;4
1122858502874124288;4
1518586680818683911;4
769251162;4
27049579;4
766072848268091392;4
1487039518167519235;4
901352038344294400;4
526871737;4
1293652983129964545;4
15305044;4
1006419421244678144;4
1167826204910673921;4
36959762;4
1382328946868502530;4
378643551;4
436576452;4
779175673264902144;4
19539716;4
1880725393;4
21786618;4
181912222;4
2337246962;4
34888595;4
274369575;4
757668817581506565;4
16935292;4
17793878;4
1393528137699446784;4
2853542034;4
1229837593975517184;4
86401456;4
875471808199147520;4
79524514;4
882759681667588096;4
1263967568013991936;4
1506913579877998598;4
1061332530417319936;4
350907112;4
41130872;4
902596925123330054;4
1183279797654511616;4
96350647;4
3140662712;4
1279946247399288833;4
436006103;4
1284778632;4
856699083041366016;4
705048173811789824;4
17852719;4
284002280;4
1452337916701777928;4
1351421522443960320;4
6531902;4
368292391;4
565924698;4
635596435;4
14050550;4
2562240601;4
1169901198180139008;4
257050700;4
1380013880886370304;4
986933464359407616;4
456865788;4
223416400;4
191074329;4
49057899;4
1491424942944051201;4
1251694332958126080;4
2187906247;4
